StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,1.,2.,3.,3b,4._1,4._2,4._3,4._4,4._5,4._6,4b,5._1,5._2,5._3,5._4,5._5,5._6,5b,6.,7.,8.,9.,10.,11.,12.,13.
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What is your place of residence? (city/town),What is your place of residence? (state),What is your primary mode of transportation?,"If you answered ""Other"" to question 3, please explain.","Do you have difficulty accessing forms of transportation in your area? If so, what forms? - Car","Do you have difficulty accessing forms of transportation in your area? If so, what forms? - Bus","Do you have difficulty accessing forms of transportation in your area? If so, what forms? - Passenger train","Do you have difficulty accessing forms of transportation in your area? If so, what forms? - Taxi (including Uber/Lyft rides)","Do you have difficulty accessing forms of transportation in your area? If so, what forms? - Bike with bike lanes","Do you have difficulty accessing forms of transportation in your area? If so, what forms? - Other","If you answered ""Other"" to question 4, please explain.","If you had better access to modes of transportation in your area, would you use them and how often - Car","If you had better access to modes of transportation in your area, would you use them and how often - Bus","If you had better access to modes of transportation in your area, would you use them and how often - Passenger Train","If you had better access to modes of transportation in your area, would you use them and how often - Taxi (Including Uber/Lyft rides)","If you had better access to modes of transportation in your area, would you use them and how often - Bike with bike lanes","If you had better access to modes of transportation in your area, would you use them and how often - Other","If you answered ""Other"" to question 5, please explain.","If you had local access to passenger train service, how often would you use it?",What is your initial reaction to the implementation of passenger train service to your area?,What is your initial reaction to the implementation of bike lanes in your town/city of residence?,What is your initial reaction to an increase in taxi routes in your area?,"If you answered “Favorable” and/or “Somewhat favorable” to any of the questions above, please explain.","If you answered ""Opposed"" and/or ""Somewhat Opposed"" to any of the questions above, please explain.",Do you have any other concerns relating to public transportation in your area?,"If you answered ""Yes"" to question 12, please explain."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID27_4""}","{""ImportId"":""QID27_5""}","{""ImportId"":""QID27_6""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}"
2021-12-03 06:45:39,2021-12-03 06:58:08,IP Address,100,749,True,2021-12-03 06:58:09,R_etyhxwO5hxL8NKV,anonymous,EN,Salisbury,MD,Car (carpool),,No difficulty,Some difficulty,Great difficulty,No difficulty,No difficulty,,,Occasionally,Daily,Daily,Daily,Weekly,,,Daily,Favorable,Favorable,Favorable,"Would very much use transit, rail, bike or others options if available and safe",,Yes,Current trasnit service is unreliable and has too long between buses.
2021-12-09 14:22:26,2021-12-09 14:28:29,IP Address,100,363,True,2021-12-09 14:28:29,R_4UaXlOXu5CNxRNT,anonymous,EN,Salisbury,Maryland,Car (carpool),,Some difficulty,Great difficulty,Great difficulty,No difficulty,No difficulty,,,Daily,Daily,Occasionally,Occasionally,Weekly,,,Occasionally,Favorable,Favorable,Favorable,I think it would be a really great resource!,,No,
2021-12-13 08:56:54,2021-12-13 09:02:16,Spam,100,321,True,2021-12-13 09:02:16,R_QmFjau1Xa6qhdkd,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-14 09:27:59,2021-12-14 09:31:32,IP Address,100,212,True,2021-12-14 09:31:32,R_SWgxffeBtC3RuCZ,anonymous,EN,Millsboro,Delaware,Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,Daily,Never,Never,Never,Never,Never,,Never,Opposed,Neutral,Neutral,,Trains are not practical or financially feasible for passenger service in this area.,No,
2021-12-16 11:28:03,2021-12-16 11:31:24,IP Address,100,201,True,2021-12-16 11:31:25,R_2P1lBtaYDBpaG7P,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-17 14:42:48,2021-12-17 14:45:14,IP Address,100,146,True,2021-12-17 14:45:15,R_1rdWD2JUShqfIBG,anonymous,EN,Laurel,De,Car (own),,No difficulty,Great difficulty,Great difficulty,Great difficulty,Some difficulty,,,,Occasionally,Occasionally,Occasionally,Never,,,Occasionally,Favorable,Neutral,Somewhat Favorable,We could really use more public transportation here,,No,
2021-12-17 14:46:19,2021-12-17 14:50:05,IP Address,100,225,True,2021-12-17 14:50:06,R_3KPZoEjAQkSIbP8,anonymous,EN,"Laurel ","Delaware ",Car (own),,No difficulty,Great difficulty,Great difficulty,Great difficulty,Great difficulty,,,Occasionally,Occasionally,Occasionally,Weekly,Daily,,,Occasionally,Favorable,Favorable,Favorable,"I ride bikes but there are no shoulders on most rural roads in Delaware ",,Yes,"Safety "
2021-12-17 15:23:58,2021-12-17 15:27:52,IP Address,100,234,True,2021-12-17 15:27:53,R_2Cgj4r2R4EMYVbO,anonymous,EN,Laurel,Delaware,Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,Daily,Never,Never,Never,Never,Never,,Never,Somewhat Opposed,Opposed,Neutral,,Bike lanes carved out of traffic lanes are a waste of money. And I really have no desire to subsidize passenger rail here that neither I nor vacationers would ever ride.,No,
2021-12-17 19:06:05,2021-12-17 19:10:43,IP Address,100,278,True,2021-12-17 19:10:44,R_43jm53ETecfvsv7,anonymous,EN,Georgetown,DE,Car (own),,No difficulty,,,,,,,Daily,,Occasionally,,Weekly,,,Occasionally,Neutral,Favorable,Neutral,,,No,
2021-12-20 13:50:45,2021-12-20 13:56:06,IP Address,100,321,True,2021-12-20 13:56:06,R_qIYmSqTlOfJozrH,anonymous,EN,Delmar,DE,Car (own),,No difficulty,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,Bicycles should not be allowed on roads intended for cars and trucks,Never,Never,Never,Never,Never,Never,I like the freedom of choosing where to go and when to go,Never,Neutral,Opposed,Neutral,,"I prefer to drive my car for the convenience ",No,
2021-12-13 14:31:50,2021-12-13 14:32:12,IP Address,41,22,False,2021-12-20 14:32:14,R_1GwYziwUeDaL66l,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-26 10:53:47,2021-12-26 11:01:37,IP Address,76,469,False,2022-01-02 11:01:39,R_3Dwq8H78S2YyWD6,anonymous,EN,Seaford,"Deleware ",Car (carpool),,No difficulty,Some difficulty,Great difficulty,Some difficulty,Some difficulty,I do not care to use,,Daily,Occasionally,Occasionally,Weekly,Weekly,Never,,Occasionally,Somewhat Favorable,Favorable,Somewhat Favorable,,,,
2022-01-06 12:07:55,2022-01-06 12:13:39,IP Address,100,344,True,2022-01-06 12:13:39,R_0JPcqR5smgZ8cWB,anonymous,EN,Smyrna,De,Car (own),,Great difficulty,Great difficulty,Great difficulty,Some difficulty,,,,Weekly,Weekly,Occasionally,Never,Weekly,,,Occasionally,Favorable,Favorable,Neutral,"Public transportation is needed for fixed income senior, trips to doctors, grocery shopping, or just go out to eat.  Affordable transportation",We don’t really need Uber seniors on a fixed income cannot afford it,Yes,There is no bus stop in the Clayton area.  If you want to ride the bus you have to walk to KFC IN SMYRNA AND THAT US IMPOSSIBLE FOR DISABLED OR SENIORS
2022-01-07 05:31:33,2022-01-07 05:35:46,IP Address,100,253,True,2022-01-07 05:35:47,R_pcTao4uH8NJnRcZ,anonymous,EN,Smyrna,DE,Car (own),,No difficulty,Great difficulty,Great difficulty,Some difficulty,Great difficulty,,,Daily,Weekly,Occasionally,Weekly,Occasionally,,,Occasionally,Favorable,Favorable,Somewhat Favorable,Support increases in public funding to provide such service.,,Yes,"Bus schedules do not match up with employment hours for those commuting to Dover, etc ."
2022-01-07 10:10:58,2022-01-07 10:13:45,IP Address,100,167,True,2022-01-07 10:13:46,R_3JKTuSGpDCfiUGd,anonymous,EN,"Frederica ","Delaware ",Car (own),,No difficulty,No difficulty,Great difficulty,Some difficulty,Some difficulty,,,Occasionally,Occasionally,Never,Occasionally,Weekly,,,Never,Neutral,Favorable,Neutral,,,Yes,"Side walks are trash, towns don’t claim ownership. So the side walks are crap or not there "
2022-01-07 10:12:04,2022-01-07 10:15:06,IP Address,100,182,True,2022-01-07 10:15:07,R_237WKwatB2mkK0y,anonymous,EN,Harrington,Delaware,Car (own),,No difficulty,Great difficulty,Great difficulty,Great difficulty,Great difficulty,,,Daily,Occasionally,Occasionally,Occasionally,Weekly,,,Occasionally,Favorable,Favorable,Favorable,It would be great if there was transportation available to distant parts of lower and central delaware,,No,
2022-01-07 10:09:49,2022-01-07 10:16:31,IP Address,100,401,True,2022-01-07 10:16:31,R_rf0hPQ6euSVBGHT,anonymous,EN,Farm between Harrington and Farmington,"Delaware ",Other,Truck (own),No difficulty,I do not care to use,I do not care to use,I do not care to use,Some difficulty,No difficulty,,Never,Never,Occasionally,Never,Occasionally,Never,,Occasionally,Favorable,Favorable,Neutral,The states needs to implement lite rail high speed train service to alleviate highway and road congestion.,,Yes,The roads need to be improved.  Crossings need to be improved. Route 13 needs to be improved.
2022-01-07 10:15:30,2022-01-07 10:19:32,IP Address,100,241,True,2022-01-07 10:19:32,R_3RxSfWMH5Crp8yg,qr,EN,"Milford ",Delaware,Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,Daily,Never,Never,Never,Never,Never,,Never,Neutral,Somewhat Favorable,Neutral,Bikes are good for some but they can cause a lot of issues.  There are some on bikes that follow their own rules.  Cars and bikes do not mix well.,,No,
2022-01-07 10:21:29,2022-01-07 10:24:51,IP Address,100,201,True,2022-01-07 10:24:51,R_2wyOO4RucDvywl8,anonymous,EN,Laurel,DE,Car (own),,No difficulty,Great difficulty,Great difficulty,I do not care to use,I do not care to use,,,Occasionally,Occasionally,Occasionally,Occasionally,Never,,,Occasionally,Favorable,Favorable,Neutral,Improved access to multiple modes of transporation helps with job access,,Yes,Lack of
2022-01-07 10:19:35,2022-01-07 10:25:08,IP Address,100,333,True,2022-01-07 10:25:09,R_3Jgcxum84VcUi37,anonymous,EN,Dover,Delaware,Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,,Daily,Never,Never,Never,Never,,,Never,Somewhat Opposed,Opposed,Favorable,,,Yes,"Disabled Veterans, disabled citizens, and seniors citizens, should be allowed to ride free! Lord knows we pay enough taxes with NO kids in school!!"
2022-01-07 10:33:04,2022-01-07 10:35:45,IP Address,100,160,True,2022-01-07 10:35:46,R_2fvpSwQDz4ij54p,anonymous,EN,Clayton,Delaware,Car (own),,No difficulty,,,,,,,Daily,Never,Never,Never,Never,Never,,Never,Opposed,Neutral,Neutral,,,No,
2022-01-07 10:55:03,2022-01-07 10:57:35,IP Address,100,151,True,2022-01-07 10:57:35,R_3nBnHtdXEiHzmMW,anonymous,EN,Clayton,Delaware,Car (own),,No difficulty,I do not care to use,I do not care to use,I do not care to use,I do not care to use,,,Daily,Never,Occasionally,Never,Weekly,,,Occasionally,Somewhat Favorable,Favorable,Neutral,,,No,
2022-01-07 11:01:02,2022-01-07 11:04:51,IP Address,100,228,True,2022-01-07 11:04:52,R_cu1LQyGagrq1fcl,anonymous,EN,Dover,DE,Car (own),,No difficulty,Great difficulty,Great difficulty,No difficulty,Great difficulty,,,Occasionally,Occasionally,Daily,Occasionally,Daily,,,Weekly,Favorable,Favorable,Somewhat Favorable,"Passenger Rail Would help us on Eastern Shore greatly. Unfortunately we are currently only able to access other parts of the region by car or by multiple buses that sit in traffic and require many transfers. ",,Yes,
2022-01-07 11:10:51,2022-01-07 11:12:34,IP Address,100,103,True,2022-01-07 11:12:34,R_30oUYMLEoSr32bs,anonymous,EN,Felton,"Delaware ",Car (own),,No difficulty,Some difficulty,Great difficulty,Some difficulty,Great difficulty,,,Daily,Occasionally,Occasionally,Occasionally,Occasionally,,,Occasionally,Favorable,Favorable,Favorable,,,No,
